City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Port Hardy,CA,50.6996,-127.4199,53.6,81,90,4.61,light intensity shower rain
228,Natal,BR,-5.795,-35.2094,79.02,89,40,5.75,scattered clouds
229,Pio Ix,BR,-6.8375,-40.5792,81.36,38,86,11.3,overcast clouds
230,Clyde River,CA,70.4692,-68.5914,32.65,82,49,4.03,scattered clouds
231,Santa Maria,BR,-29.6842,-53.8069,60.1,94,40,3.44,scattered clouds
232,Kiama,AU,-34.6833,150.8667,69.46,71,65,3.0,broken clouds
233,Port Macquarie,AU,-31.4333,152.9167,67.96,69,77,3.29,broken clouds
234,Coquimbo,CL,-29.9533,-71.3436,55.13,87,40,6.91,scattered clouds
235,Half Moon Bay,US,37.4636,-122.4286,74.77,64,1,5.75,clear sky
236,Kathmandu,NP,27.7167,85.3167,70.02,88,75,3.44,broken clouds
237,Tiznit,MA,29.5833,-9.5,75.83,18,0,0.31,clear sky
238,Novo Aripuana,BR,-5.1206,-60.3797,71.83,95,92,1.05,overcast clouds
239,Tommot,RU,58.9564,126.2925,34.61,85,100,8.39,overcast clouds
240,Bethel,US,41.3712,-73.414,53.15,88,39,2.62,scattered clouds
241,Talcahuano,CL,-36.7167,-73.1167,47.88,93,90,4.61,overcast clouds
242,Aden,YE,12.7794,45.0367,86.22,73,88,6.17,overcast clouds
243,Riyadh,SA,24.6877,46.7219,73.54,17,95,2.19,overcast clouds
244,Tura,IN,25.5198,90.2201,80.64,83,53,2.75,broken clouds
245,Labytnangi,RU,66.6572,66.4183,33.33,86,100,2.64,overcast clouds
246,East London,ZA,-33.0153,27.9116,60.17,84,79,12.66,broken clouds
247,Cairns,AU,-16.9167,145.7667,99.07,70,40,9.22,scattered clouds
248,Verkhnyaya Inta,RU,65.9811,60.3094,35.53,85,100,5.91,overcast clouds
249,Dillon,US,34.4166,-79.3712,67.03,73,94,5.21,overcast clouds
250,Belaya Gora,RU,68.5333,146.4167,25.88,82,100,5.06,overcast clouds
251,Nieuw Amsterdam,SR,5.8833,-55.0833,79.02,90,26,8.25,scattered clouds
252,Alice Springs,AU,-23.7,133.8833,94.55,8,0,19.57,clear sky
253,Farah,AF,32.5,62.5,67.93,28,0,4.32,clear sky
254,Korla,CN,41.7597,86.1469,67.96,27,68,12.88,broken clouds
255,Eureka,US,40.8021,-124.1637,59.67,75,5,0.81,clear sky
256,Khani,GE,41.9563,42.9566,49.57,87,8,4.99,clear sky
257,Kahului,US,20.8947,-156.47,79.86,81,17,12.33,few clouds
258,Faanui,PF,-16.4833,-151.75,79.12,74,7,17.67,clear sky
259,Puerto Ayora,EC,-0.7393,-90.3518,68.7,93,71,6.89,broken clouds
260,Kaspiyskiy,RU,45.3929,47.3707,57.31,48,100,18.45,overcast clouds
261,Marawi,PH,7.9986,124.2928,76.64,70,63,3.02,broken clouds
262,Aldan,RU,58.6031,125.3894,30.69,88,100,10.25,overcast clouds
263,Kavieng,PG,-2.5744,150.7967,85.19,60,37,2.71,scattered clouds
264,Beatrice,US,40.2681,-96.747,65.86,94,40,0.0,scattered clouds
265,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,75,12.66,broken clouds
266,Berdigestyakh,RU,62.0989,126.6992,39.22,49,100,6.33,overcast clouds
267,Grand Gaube,MU,-20.0064,57.6608,76.37,65,52,10.0,broken clouds
268,Port Shepstone,ZA,-30.7414,30.455,65.44,83,85,11.83,overcast clouds
269,Nha Trang,VN,12.25,109.1833,87.8,67,93,7.27,overcast clouds
270,Basoko,CD,1.2391,23.616,70.45,97,100,2.08,light rain
271,Upata,VE,8.0086,-62.3989,76.19,92,85,3.56,overcast clouds
272,Okha,RU,53.5739,142.9478,56.32,44,3,8.66,clear sky
273,Lock Haven,US,41.137,-77.4469,55.0,99,20,2.21,few clouds
274,Leningradskiy,RU,69.3833,178.4167,14.97,88,12,5.55,few clouds
