City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Najran,SA,2021-09-30 22:20:36,17.4924,44.1277,72.25,14,64,2.04
186,Quatre Cocos,MU,2021-09-30 22:20:37,-20.2078,57.7625,72.09,77,30,13.67
187,Arraial Do Cabo,BR,2021-09-30 22:17:42,-22.9661,-42.0278,71.46,88,75,4.61
188,Saint-Francois,FR,2021-09-30 22:20:39,46.4154,3.9054,44.04,100,5,1.14
189,Uglovskoye,RU,2021-09-30 22:20:40,51.3557,80.1942,37.56,91,97,12.41
190,Broome,US,2021-09-30 22:20:41,42.2506,-75.833,57.7,73,75,1.99
191,Hay River,CA,2021-09-30 22:20:42,60.8156,-115.7999,51.78,76,75,8.05
192,Upernavik,GL,2021-09-30 22:20:43,72.7868,-56.1549,32.47,83,100,14.23
193,Alofi,NU,2021-09-30 22:20:43,-19.0595,-169.9187,80.49,69,75,14.97
194,Ikom,NG,2021-09-30 22:20:44,5.9667,8.7063,74.12,96,100,3.2
195,Sao Filipe,CV,2021-09-30 22:20:45,14.8961,-24.4956,79.5,78,86,4.65
196,Kutum,SD,2021-09-30 22:20:46,14.2,24.6667,77.92,22,4,11.83
197,Townsville,AU,2021-09-30 22:20:04,-19.25,146.8,74.28,83,90,11.5
198,Karratha,AU,2021-09-30 22:20:47,-20.7377,116.8463,71.24,59,12,13.13
199,Surt,LY,2021-09-30 22:20:48,31.2089,16.5887,77.58,68,4,8.75
200,Clarksburg,US,2021-09-30 22:20:27,39.2807,-80.3445,70.48,46,1,6.91
201,George,ZA,2021-09-30 22:20:49,-33.963,22.4617,56.75,100,90,5.75
202,Broken Hill,AU,2021-09-30 22:20:50,-31.95,141.4333,55.11,76,90,20.71
203,Mount Isa,AU,2021-09-30 22:20:51,-20.7333,139.5,76.77,22,19,13.8
204,Guerrero Negro,MX,2021-09-30 22:17:46,27.9769,-114.0611,74.19,53,0,11.18
205,Brae,GB,2021-09-30 22:20:52,60.3964,-1.353,53.51,90,100,10.78
206,Grand Gaube,MU,2021-09-30 22:20:53,-20.0064,57.6608,72.37,73,17,7.0
207,Manuk Mangkaw,PH,2021-09-30 22:20:54,4.8,119.85,83.01,78,86,6.02
208,Jalalabad,AF,2021-09-30 22:20:54,34.4265,70.4515,84.04,55,12,2.1
209,Lompoc,US,2021-09-30 22:20:55,34.6391,-120.4579,92.21,28,1,13.8
210,Toora-Khem,RU,2021-09-30 22:20:56,52.4675,96.11,32.81,82,100,3.2
211,Tasiilaq,GL,2021-09-30 22:20:57,65.6145,-37.6368,37.56,86,3,6.35
212,Sioux Lookout,CA,2021-09-30 22:20:57,50.1001,-91.917,75.27,64,90,2.3
213,Cabo San Lucas,MX,2021-09-30 22:20:58,22.8909,-109.9124,93.51,58,20,6.91
214,Vuktyl,RU,2021-09-30 22:20:59,63.8567,57.3094,31.96,82,86,5.7
215,Palimbang,PH,2021-09-30 22:21:00,6.2106,124.1894,79.0,81,52,4.21
216,Souillac,MU,2021-09-30 22:21:00,-20.5167,57.5167,72.36,78,75,13.8
217,Chokurdakh,RU,2021-09-30 22:21:01,70.6333,147.9167,14.67,92,59,9.17
218,Pisco,PE,2021-09-30 22:20:36,-13.7,-76.2167,66.25,77,0,19.57
219,Rio Bravo,MX,2021-09-30 22:21:03,25.9833,-98.1,93.97,48,75,11.5
220,Banjar,ID,2021-09-30 22:21:03,-8.19,114.9675,76.91,90,25,6.38
221,Poum,NC,2021-09-30 22:21:04,-20.2333,164.0167,75.33,79,68,16.89
222,Mombetsu,JP,2021-09-30 22:21:05,44.3525,143.3525,61.86,84,0,4.74
223,Bethel,US,2021-09-30 22:17:16,41.3712,-73.414,61.48,70,90,4.61
224,Sorland,NO,2021-09-30 22:21:06,67.667,12.6934,51.91,70,88,7.43
225,Touros,BR,2021-09-30 22:21:07,-5.1989,-35.4608,77.9,79,3,15.93
226,Souris,CA,2021-09-30 22:21:08,49.6172,-100.2612,71.46,23,19,6.82
227,Bara,NG,2021-09-30 22:21:09,10.3744,10.7288,77.56,76,35,4.68
228,Elko,US,2021-09-30 22:18:47,41.0002,-115.5012,68.02,8,0,5.01
229,Marechal Candido Rondon,BR,2021-09-30 22:17:25,-24.5561,-54.0567,88.25,37,1,6.82
230,Zhigansk,RU,2021-09-30 22:21:10,66.7697,123.3711,27.43,70,67,4.52
231,Lazaro Cardenas,MX,2021-09-30 22:21:11,17.9583,-102.2,83.98,73,42,5.99
232,Bubaque,GW,2021-09-30 22:21:12,11.2833,-15.8333,82.47,78,13,12.24
233,Nabinagar,BD,2021-09-30 22:21:13,23.8917,90.9733,82.47,87,81,1.01
234,Lashio,MM,2021-09-30 22:21:13,22.9333,97.75,66.58,99,20,0.22
235,Isangel,VU,2021-09-30 22:21:14,-19.55,169.2667,80.71,69,100,12.66
236,San Rafael,AR,2021-09-30 22:21:15,-34.6177,-68.3301,69.06,20,0,13.78
237,Umm Lajj,SA,2021-09-30 22:21:16,25.0213,37.2685,81.3,67,0,6.02
238,Schonebeck,DE,2021-09-30 22:21:16,52.0167,11.75,50.61,81,99,8.59
