City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
528,Mingaora,PK,75.74,few clouds,34.7758,72.3625,Burj Al Swat
531,Villa Del Rosario,CO,75.58,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
532,Luwuk,ID,85.75,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
534,Noumea,NC,77.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
538,Ampanihy,MG,76.71,clear sky,-24.7,44.75,Angora Hotel
539,Vaitape,PF,79.11,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
549,Kokopo,PG,84.27,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
563,Mae Sot,TH,82.35,scattered clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
566,Lazaro Cardenas,MX,78.66,overcast clouds,17.9583,-102.2,quinta antigua
577,Ormara,PK,81.54,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
579,Mangrol,IN,82.58,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
581,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
583,Isabela,PH,83.88,overcast clouds,6.7085,121.9711,Isawad Resort
589,Safaga,EG,77.45,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
591,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
592,Sibolga,ID,86.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
594,Le Vauclin,MQ,80.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
596,Whyalla,AU,75.43,clear sky,-33.0333,137.5833,Foreshore Motor Inn
601,Grand-Lahou,CI,75.87,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
603,Dingle,PH,87.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
614,Barra,BR,78.48,clear sky,-11.0894,-43.1417,Motel Albatroz
615,Bowen,AU,81.01,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
616,Monrovia,LR,76.03,moderate rain,6.3005,-10.7969,Sunset Inn
618,Praia,CV,77.81,scattered clouds,14.9215,-23.5087,LT Aparthotel
621,Gushikawa,JP,85.62,clear sky,26.3544,127.8686,Kirari Guest House
625,Yaring,TH,89.15,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
626,Palatka,US,80.98,clear sky,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
628,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
636,Labrea,BR,75.34,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
644,Mataram,ID,86.81,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
647,Lucea,JM,76.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
650,Port Blair,IN,83.39,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
654,Nchelenge,ZM,75.15,overcast clouds,-9.3451,28.734,KD Travellers Home
656,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
661,Key Largo,US,81.99,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
663,Kiunga,PG,84.94,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
664,West Bay,KY,82.99,clear sky,19.3667,-81.4167,Calypso Cove
